distance,gauge
63.305,3.3
63.355,3.1
63.405,2.8
63.455,3.2
63.505,3.05
63.555,3.85
63.605,2.8
63.655,2.9
63.705,2.85
63.755,3.7
63.805,3.75
63.855,3.05
63.905,3.15
63.955,2.55
64.005,2.8
64.055,2.8
64.105,3
64.155,2.15
64.205,2.05
64.255,2.1
64.305,2.7
64.355,2.8
64.405,2.65
64.455,2.5
64.505,2.05
64.555,1.95
64.605,1.9
64.655,1.75
64.705,1.9
64.755,1.6
64.805,1.65
64.855,1.25
64.905,1.7
64.955,1.8
65.005,2.15
65.055,2.8
65.105,2.8
65.155,2.6
65.205,2.05
65.255,2.15
65.305,1.85
65.355,2.05
65.405,1.85
65.455,2.1
65.505,2.35
65.555,2.4
65.605,2.7
65.655,2.3
65.705,2.95
65.755,2.7
65.805,2.8
65.855,2.7
65.905,2.55
65.955,2.4
66.005,2.75
66.055,2.8
66.105,2.7
66.155,2.4
66.205,2.3
66.255,2.5
66.305,2.4
66.355,2.55
66.405,2.55
66.455,2.7
66.505,3.3
66.555,3.35
66.605,4.1
66.655,3.85
66.705,3.85
66.755,3.55
66.805,3.5
66.855,3.75
66.905,3.7
66.955,3.7
67.005,3.85
67.055,3.9
67.105,3.6
67.155,4
67.205,3.85
